artist_id1;artist_id2
66CXWjxzNUsdJxJ2JdwvnR;4nDoRrQiYLoBzwC5BhVJzF
66CXWjxzNUsdJxJ2JdwvnR;1l8Fu6IkuTP0U5QetQJ5Xt
66CXWjxzNUsdJxJ2JdwvnR;0C8ZW7ezQVs4URX5aX7Kqx
66CXWjxzNUsdJxJ2JdwvnR;2wUjUUtkb5lvLKcGKsKqsR
66CXWjxzNUsdJxJ2JdwvnR;5ZsFI1h6hIdQRw2ti0hz81
66CXWjxzNUsdJxJ2JdwvnR;6S2OmqARrzebs0tKUEyXyp
66CXWjxzNUsdJxJ2JdwvnR;5p7f24Rk5HkUZsaS3BLG5F
66CXWjxzNUsdJxJ2JdwvnR;1o2NpYGqHiCq7FoiYdyd1x
66CXWjxzNUsdJxJ2JdwvnR;1Xylc3o4UrD53lo9CvFvVg
66CXWjxzNUsdJxJ2JdwvnR;5YGY8feqx7naU7z4HrwZM6
66CXWjxzNUsdJxJ2JdwvnR;0ZED1XzwlLHW4ZaG4lOT6m
66CXWjxzNUsdJxJ2JdwvnR;2kRfqPViCqYdSGhYSM9R0Q
66CXWjxzNUsdJxJ2JdwvnR;3e7awlrlDSwF3iM0WBjGMp
66CXWjxzNUsdJxJ2JdwvnR;26VFTg2z8YR0cCuwLzESi2
66CXWjxzNUsdJxJ2JdwvnR;1BhWF9W2PngtPSyobKg0rP
66CXWjxzNUsdJxJ2JdwvnR;5CCwRZC6euC8Odo6y9X8jr
66CXWjxzNUsdJxJ2JdwvnR;6JL8zeS1NmiOftqZTRgdTz
66CXWjxzNUsdJxJ2JdwvnR;0hCNtLu0JehylgoiP8L4Gh
66CXWjxzNUsdJxJ2JdwvnR;74KM79TiuVKeVCqs8QtB0B
6LuN9FCkKOj5PcnpouEgny;4GvEc3ANtPPjt1ZJllr5Zl
6LuN9FCkKOj5PcnpouEgny;3Y7RZ31TRPVadSFVy1o8os
6LuN9FCkKOj5PcnpouEgny;0cGUm45nv7Z6M6qdXYQGTX
6LuN9FCkKOj5PcnpouEgny;57LYzLEk2LcFghVwuWbcuS
6LuN9FCkKOj5PcnpouEgny;6hfwwpXqZPRC9CsKI7qtv1
6LuN9FCkKOj5PcnpouEgny;3KedxarmBCyFBevnqQHy3P
6LuN9FCkKOj5PcnpouEgny;7HkdQ0gt53LP4zmHsL0nap
6LuN9FCkKOj5PcnpouEgny;20wkVLutqVOYrc0kxFs7rA
6LuN9FCkKOj5PcnpouEgny;3tQx1LPXbsYjE9VwN1Peaa
6LuN9FCkKOj5PcnpouEgny;1QRj3hoop9Mv5VvHQkwPEp
6LuN9FCkKOj5PcnpouEgny;3WGpXCj9YhhfX11TToZcXP
6LuN9FCkKOj5PcnpouEgny;1CoZyIx7UvdxT5c8UkMzHd
6LuN9FCkKOj5PcnpouEgny;2EMAnMvWE2eb56ToJVfCWs
6LuN9FCkKOj5PcnpouEgny;2cFrymmkijnjDg9SS92EPM
6LuN9FCkKOj5PcnpouEgny;2wUjUUtkb5lvLKcGKsKqsR
6LuN9FCkKOj5PcnpouEgny;5CiGnKThu5ctn9pBxv7DGa
6LuN9FCkKOj5PcnpouEgny;2kRfqPViCqYdSGhYSM9R0Q
6LuN9FCkKOj5PcnpouEgny;5xkAtLTf309LAGZTbvULBn
4VMYDCV2IEDYJArk749S6m;7tU1VKOuxiNZwBZC6RHidA
4VMYDCV2IEDYJArk749S6m;3EiLUeyEcA6fbRPSHkG5kb
4VMYDCV2IEDYJArk749S6m;3LKXWvXFWrkwUzJWxzwVpW
4VMYDCV2IEDYJArk749S6m;1SupJlEpv7RS2tPNRaHViT
4VMYDCV2IEDYJArk749S6m;21451j1KhjAiaYKflxBjr1
4VMYDCV2IEDYJArk749S6m;3E6xrwgnVfYCrCs0ePERDz
4VMYDCV2IEDYJArk749S6m;4IMAo2UQchVFyPH24PAjUs
4VMYDCV2IEDYJArk749S6m;5fJsY7afrbsyzJj9wdzJMh
4VMYDCV2IEDYJArk749S6m;5pZE9tgrhmIGWAsJZ7YxNK
4VMYDCV2IEDYJArk749S6m;3SUT1jjM5hzZj9TLfLZGIP
4VMYDCV2IEDYJArk749S6m;4SsVbpTthjScTS7U2hmr1X
4VMYDCV2IEDYJArk749S6m;33ScadVnbm2X8kkUqOkC6Z
4VMYDCV2IEDYJArk749S6m;2OHKEe204spO7G7NcbeO2o
4VMYDCV2IEDYJArk749S6m;1wZtkThiXbVNtj6hee6dz9
4VMYDCV2IEDYJArk749S6m;0eHQ9o50hj6ZDNBt6Ys1sD
4VMYDCV2IEDYJArk749S6m;329e4yvIujISKGKz1BZZbO
4VMYDCV2IEDYJArk749S6m;3IEvQoAohcGX7CdrbtIle7
4VMYDCV2IEDYJArk749S6m;00me4Ke1LsvMxt5kydlMyU
1Xyo4u8uXC1ZmMpatF05PJ;2h93pZq0e7k5yf4dywlkpM
1Xyo4u8uXC1ZmMpatF05PJ;13ubrt8QOOCPljQ2FL1Kca
1Xyo4u8uXC1ZmMpatF05PJ;73sIBHcqh3Z3NyqHKZ7FOL
1Xyo4u8uXC1ZmMpatF05PJ;360IAlyVv4PCEVjgyMZrxK
1Xyo4u8uXC1ZmMpatF05PJ;5ZS223C6JyBfXasXxrRqOk
1Xyo4u8uXC1ZmMpatF05PJ;0c173mlxpT3dSFRgMO8XPh
1Xyo4u8uXC1ZmMpatF05PJ;3TVXtAsR1Inumwj472S9r4
1Xyo4u8uXC1ZmMpatF05PJ;6l3HvQ5sa6mXTsMTB19rO5
1Xyo4u8uXC1ZmMpatF05PJ;5K4W6rqBFWDnAN6FQUkS6x
1Xyo4u8uXC1ZmMpatF05PJ;67nwj3Y5sZQLl72VNUHEYE
1Xyo4u8uXC1ZmMpatF05PJ;3KV3p5EY4AvKxOlhGHORLg
1Xyo4u8uXC1ZmMpatF05PJ;4V8LLVI7PbaPR0K2TGSxFF
1Xyo4u8uXC1ZmMpatF05PJ;2iojnBLj0qIMiKPvVhLnsH
1Xyo4u8uXC1ZmMpatF05PJ;2YZyLoL8N0Wb9xBt1NhZWg
1Xyo4u8uXC1ZmMpatF05PJ;0fA0VVWsXO9YnASrzqfmYu
1Xyo4u8uXC1ZmMpatF05PJ;7bXgB6jMjp9ATFy66eO08Z
1Xyo4u8uXC1ZmMpatF05PJ;137W8MRPWKqSmrBGDBFSop
1Xyo4u8uXC1ZmMpatF05PJ;1W3FSF1BLpY3hlVIgvenLz
1Xyo4u8uXC1ZmMpatF05PJ;4EMtGVFvfCSrEmWaGV0roE
1Xyo4u8uXC1ZmMpatF05PJ;53KwLdlmrlCelAZMaLVZqU
0Y5tJX1MQlPlqiwlOH1tJY;13ubrt8QOOCPljQ2FL1Kca
0Y5tJX1MQlPlqiwlOH1tJY;15iVAtD3s3FsQR4w1v6M0P
0Y5tJX1MQlPlqiwlOH1tJY;2hPgGN4uhvXAxiXQBIXOmE
0Y5tJX1MQlPlqiwlOH1tJY;7yO4IdJjCEPz7YgZMe25iS
0Y5tJX1MQlPlqiwlOH1tJY;2P5sC9cVZDToPxyomzF1UH
0Y5tJX1MQlPlqiwlOH1tJY;699OTQXzgjhIYAHMy9RyPD
0Y5tJX1MQlPlqiwlOH1tJY;5dHt1vcEm9qb8fCyLcB3HL
0Y5tJX1MQlPlqiwlOH1tJY;0ONHkAv9pCAFxb0zJwDNTy
0Y5tJX1MQlPlqiwlOH1tJY;2YZyLoL8N0Wb9xBt1NhZWg
0Y5tJX1MQlPlqiwlOH1tJY;5IcR3N7QB1j6KBL8eImZ8m
0Y5tJX1MQlPlqiwlOH1tJY;1anyVhU62p31KFi8MEzkbf
0Y5tJX1MQlPlqiwlOH1tJY;20sxb77xiYeusSH8cVdatc
0Y5tJX1MQlPlqiwlOH1tJY;0VRj0yCOv2FXJNP47XQnx5
0Y5tJX1MQlPlqiwlOH1tJY;17lzZA2AlOHwCwFALHttmp
0Y5tJX1MQlPlqiwlOH1tJY;6oMuImdp5ZcFhWP0ESe6mG
0Y5tJX1MQlPlqiwlOH1tJY;6extd4B6hl8VTmnlhpl2bY
0Y5tJX1MQlPlqiwlOH1tJY;0xOeVMOz2fVg5BJY3N6akT
0Y5tJX1MQlPlqiwlOH1tJY;4O15NlyKLIASxsJ0PrXPfz
0Y5tJX1MQlPlqiwlOH1tJY;0c173mlxpT3dSFRgMO8XPh
15UsOTVnJzReFVN1VCnxy4;21dooacK2WGBB5amYvKyfM
15UsOTVnJzReFVN1VCnxy4;1iJdyDcY98X3GMnUesl7tf
15UsOTVnJzReFVN1VCnxy4;3wyVrVrFCkukjdVIdirGVY
15UsOTVnJzReFVN1VCnxy4;4MCBfE4596Uoi2O4DtmEMz
15UsOTVnJzReFVN1VCnxy4;3Fdm9TFJQCLmC3AWMuGExi
15UsOTVnJzReFVN1VCnxy4;3gGUMEwIX6XodWsYEvKSal
15UsOTVnJzReFVN1VCnxy4;7d3WFRME3vBY2cgoP38RDo
15UsOTVnJzReFVN1VCnxy4;6ASri4ePR7RlsvIQgWPJpS
15UsOTVnJzReFVN1VCnxy4;0WOxhx4hikIsyF3CRPLC8W
15UsOTVnJzReFVN1VCnxy4;6Xgp2XMz1fhVYe7i6yNAax
15UsOTVnJzReFVN1VCnxy4;6icQOAFXDZKsumw3YXyusw
15UsOTVnJzReFVN1VCnxy4;0gCGZZ1Ibo5QsOnll977PD
15UsOTVnJzReFVN1VCnxy4;2rhFzFmezpnW82MNqEKVry
15UsOTVnJzReFVN1VCnxy4;3Fl1V19tmjt57oBdxXKAjJ
15UsOTVnJzReFVN1VCnxy4;61qMnYXa1GxSBoV3IiYKjZ
15UsOTVnJzReFVN1VCnxy4;5zctI4wO9XSKS8XwcnqEHk
69GGBxA162lTqCwzJG5jLp;4ehtJnVumNf6xzSCDk8aLB
69GGBxA162lTqCwzJG5jLp;4YXycRbyyAE0wozTk7QMEq
69GGBxA162lTqCwzJG5jLp;1HBjj22wzbscIZ9sEb5dyf
69GGBxA162lTqCwzJG5jLp;6t1gpxYbY8OlLA7D2RiikQ
69GGBxA162lTqCwzJG5jLp;2ZRQcIgzPCVaT9XKhXZIzh
