genre;artist_id
indonesian folk;2Ooa3TrmlskyBftzenv6xQ
metal;1DFr97A9HnbV3SKTJFu62M
electro house;6S3KljEiIOWoLMUyZrkQUc
new french touch;6Xc0KDqzw5u6EQLgdfeoKO
pinoy hip hop;3xbpJdoJDLAfYn3ZeLlukg
rap underground espanol;7rAjVJgwZhvmMIt5vfyNGn
rap;6TIYQ3jFPwQSRmorSezPxX
mandopop;1dVbVQZjRGDjQmHD8oiS8k
sertanejo universitario;4LTPxLxjiT5pzYd5WZAR3v
italian pop;0ZhqSTaEEWN6USw0E30pws
chanson;7jgnJBnpZTiGnCF2Wvka2Z
progressive house;0FBRY66KVaAiddGVefikLB
pop;0kkxsdcaWmWU2yWAqclDh4
indietronica;4Ui2kfOqGujY81UcPrb5KE
pinoy rock;3wbCeEPAW6po7J46netxMT
trap brasileiro;7ciBW1p3KBsYIkFk4UmwS8
french hip hop;2z2TRvloJt4EfUNQp9rHAi
j-pop;4HfuyMMy295oBvbIuXr0v8
desi hip hop;1wRPtKGflJrBx9BmLsSwlU
classic rock;0oSGxfWSnnOXhD2fKuz2Gy
czsk hip hop;6xg3PSVEwviVyfnx3mtsPL
francoton;2PNcNJDYJyoeJqUjgHz9Xa
banda;0GpuSge5ffZ053NhXxgQkV
country;0qSX3s5pJnAlSsgsCne8Cz
finnish dance pop;3Awhg0cBQF0c1arITbUUhu
alternative rock;7mnBLXK823vNxN3UWB7Gfz
finnish hip hop;6TKvvwslcx2bKwiX2aBxbd
danish pop;1GLzVjVa7bLnAcD1At98j3
drill;0WOxhx4hikIsyF3CRPLC8W
latin rock;0Zncosr79q01riJYbSBNA1
permanent wave;3jOstUTkEu2JkjvRdBA5Gu
turkish hip hop;7xD3PtnXEsJeqsPtJ3N3si
german cloud rap;4DMzvwya65eu1LsYZ3BLV6
pinoy r&b;4HPuFCMUiNcV4f3ew0flbZ
rock;2UZMlIwnkgAEDBsw1Rejkn
turkish rock;1dvuibBCx9TnbCKIdOEF4l
pop;163tK9Wjr9P9DmM0AVK7lm
new romantic;0GByy3DcfbQwDvXGCWmzv9
pop edm;1vo8zHmO1KzkuU9Xxh6J7W
